baseline,project,difference
0.87012,11.91957,11.04946
0.85324,-18.97192,-19.82516
0.83828,-7.04669,-7.88497
0.82479,-7.69751,-8.52230
0.81243,-8.39056,-9.20299
0.80094,-6.00554,-6.80648
0.79015,-0.30245,-1.09260
0.77990,-9.02031,-9.80021
0.77010,-9.01481,-9.78492
0.76067,-1.69313,-2.45380
0.75155,-11.20876,-11.96031
0.74270,-10.86497,-11.60767
0.73408,-11.69998,-12.43407
0.72567,-12.46617,-13.19184
0.71745,5.08894,4.37149
0.70940,-14.71550,-15.42490
0.70152,-12.80833,-13.50985
0.69379,-13.57919,-14.27297
0.68620,-14.24407,-14.93027
0.67876,-14.84998,-15.52874
0.67145,-15.39900,-16.07045
0.66427,-15.89146,-16.55573
0.65722,-16.32611,-16.98333
0.65030,-16.70049,-17.35078
0.64349,-17.01117,-17.65466
0.63680,-17.25411,-17.89092
0.63023,-17.42497,-18.05520
0.62378,-17.51932,-18.14310
0.61743,-17.53299,-18.15043
0.61120,-17.46225,-18.07345
0.60507,-17.30403,-17.90910
0.59905,-17.05612,-17.65517
0.59313,-16.71735,-17.31048
0.58731,-16.28770,-16.87501
0.58159,204.60199,204.02039
0.57598,-31.10207,-31.67805
0.57045,-0.60794,-1.17840
0.56503,-2.25501,-2.82003
0.55969,-2.98722,-3.54691
0.55445,-3.38833,-3.94278
0.54930,-3.52606,-4.07535
0.54423,-3.45860,-4.00283
0.53926,-3.23430,-3.77356
0.53437,-2.89257,-3.42694
0.52956,-2.46521,-2.99477
0.52483,-1.97776,-2.50259
0.52019,-1.45072,-1.97091
0.51563,-0.90054,-1.41616
0.51114,-0.34036,-0.85150
0.50673,0.21928,-0.28745
