year,soc,dpm,rpm,bio,hum,iom,crop_in,tree_in
-18.83100,53.84241,0.09368,12.49067,0.92267,35.74356,4.59183,3.14448,0.00000
-17.83100,51.90909,0.18552,10.36896,0.95952,35.80327,4.59183,3.14448,0.00000
-16.83100,50.32675,0.18552,8.79668,0.94401,35.80870,4.59183,3.14448,0.00000
-15.83100,49.07736,0.18552,7.63157,0.90472,35.76373,4.59183,3.14448,0.00000
-14.83100,48.08630,0.18552,6.76817,0.86015,35.68063,4.59183,3.14448,0.00000
-13.83100,47.29345,0.18552,6.12835,0.81851,35.56924,4.59183,3.14448,0.00000
-12.83100,46.65162,0.18552,5.65423,0.78281,35.43724,4.59183,3.14448,0.00000
-11.83100,46.12437,0.18552,5.30288,0.75360,35.29055,4.59183,3.14448,0.00000
-10.83100,45.68388,0.18552,5.04251,0.73036,35.13365,4.59183,3.14448,0.00000
-9.83100,45.30905,0.18552,4.84957,0.71218,34.96994,4.59183,3.14448,0.00000
-8.83100,44.98402,0.18552,4.70660,0.69811,34.80196,4.59183,3.14448,0.00000
-7.83100,44.69685,0.18552,4.60065,0.68728,34.63157,4.59183,3.14448,0.00000
-6.83100,44.43863,0.18552,4.52213,0.67897,34.46018,4.59183,3.14448,0.00000
-5.83100,44.20270,0.18552,4.46395,0.67257,34.28882,4.59183,3.14448,0.00000
-4.83100,43.98406,0.18552,4.42084,0.66764,34.11823,4.59183,3.14448,0.00000
-3.83100,43.77902,0.18552,4.38889,0.66381,33.94897,4.59183,3.14448,0.00000
-2.83100,43.58479,0.18552,4.36521,0.66082,33.78142,4.59183,3.14448,0.00000
-1.83100,43.39932,0.18552,4.34766,0.65844,33.61586,4.59183,3.14448,0.00000
-0.83100,43.22104,0.18552,4.33466,0.65654,33.45249,4.59183,3.14448,0.00000
0.00000,43.07738,0.18552,4.32645,0.65522,33.31836,4.59183,0.00000,0.00000
