year,leaf,branch,stem,croot,froot,total
0.00000,0.25213,0.78160,1.73969,0.69588,0.25213,3.72142
1.00000,0.01738,0.79641,1.85964,0.74386,0.06781,3.48511
2.00000,0.02321,0.81370,1.98501,0.79400,0.03577,3.65169
3.00000,0.02429,0.83346,2.11609,0.84643,0.03119,3.85146
4.00000,0.02551,0.85572,2.25315,0.90126,0.03161,4.06726
5.00000,0.02680,0.88046,2.39650,0.95860,0.03300,4.29535
6.00000,0.02814,0.90771,2.54640,1.01856,0.03461,4.53542
7.00000,0.02841,0.90116,2.60129,1.04051,0.03494,4.60632
8.00000,0.02981,0.93225,2.75886,1.10354,0.03667,4.86112
9.00000,0.03126,0.96575,2.92350,1.16940,0.03846,5.12837
10.00000,0.03152,0.96304,2.97850,1.19140,0.03878,5.20324
11.00000,0.03301,0.99992,3.15108,1.26043,0.04062,5.48508
12.00000,0.03456,1.03911,3.33107,1.33243,0.04253,5.77969
13.00000,0.03615,1.08056,3.51862,1.40745,0.04449,6.08726
14.00000,0.03777,1.12426,3.71386,1.48554,0.04650,6.40794
15.00000,0.03679,1.09145,3.65693,1.46277,0.04531,6.29325
16.00000,0.03837,1.13627,3.85359,1.54144,0.04726,6.61692
17.00000,0.03996,1.18300,4.05757,1.62303,0.04924,6.95280
18.00000,0.04158,1.23156,4.26883,1.70753,0.05124,7.30074
19.00000,0.04320,1.28186,4.48729,1.79492,0.05326,7.66052
20.00000,0.04483,1.33376,4.71280,1.88512,0.05528,8.03179
21.00000,0.04644,1.38715,4.94517,1.97807,0.05729,8.41412
22.00000,0.04804,1.44184,5.18414,2.07366,0.05928,8.80695
23.00000,0.04961,1.49767,5.42936,2.17175,0.06124,9.20962
24.00000,0.05113,1.55442,5.68044,2.27218,0.06315,9.62132
25.00000,0.05261,1.61187,5.93689,2.37476,0.06500,10.04113
26.00000,0.05402,1.66976,6.19816,2.47926,0.06677,10.46797
27.00000,0.05535,1.72783,6.46359,2.58544,0.06845,10.90066
28.00000,0.05660,1.78577,6.73249,2.69299,0.07003,11.33787
29.00000,0.05774,1.84326,7.00405,2.80162,0.07148,11.77814
30.00000,0.05876,1.89998,7.27740,2.91096,0.07278,12.21990
31.00000,0.05966,1.95558,7.55163,3.02065,0.07394,12.66146
32.00000,0.06042,2.00969,7.82572,3.13029,0.07492,13.10104
33.00000,0.06103,2.06194,8.09864,3.23946,0.07572,13.53678
34.00000,0.06148,2.11197,8.36928,3.34771,0.07633,13.96677
35.00000,0.03779,1.33574,5.37252,2.14901,0.04696,8.94201
36.00000,0.03773,1.36154,5.53062,2.21225,0.04694,9.18907
37.00000,0.03762,1.38520,5.68480,2.27392,0.04683,9.42837
38.00000,0.03741,1.40652,5.83440,2.33376,0.04659,9.65867
39.00000,0.03708,1.42534,5.97873,2.39149,0.04622,9.87886
40.00000,0.03665,1.44149,6.11719,2.44688,0.04571,10.08792
41.00000,0.03613,1.45485,6.24917,2.49967,0.04509,10.28491
42.00000,0.03550,1.46531,6.37415,2.54966,0.04434,10.46897
43.00000,0.03479,1.47280,6.49164,2.59665,0.04348,10.63937
44.00000,0.03400,1.47726,6.60120,2.64048,0.04252,10.79547
45.00000,0.03313,1.47868,6.70250,2.68100,0.04147,10.93678
46.00000,0.03220,1.47706,6.79524,2.71809,0.04033,11.06292
47.00000,0.03122,1.47244,6.87919,2.75168,0.03912,11.17366
48.00000,0.03019,1.46490,6.95422,2.78169,0.03786,11.26885
49.00000,0.02912,1.45451,7.02025,2.80810,0.03654,11.34853
50.00000,0.02803,1.44139,7.07727,2.83091,0.03519,11.41279
